client-1              | time="2023-05-22 00:56:33" level=info msg="action: query_request | result: success | msg: Query 2: montreal#Parc J.-Arthur-Champagne (de Chambly / du Mont-Royal)#0#3877#"
client-1              | time="2023-05-22 00:56:33" level=info msg="action: query_request | result: success | msg: Query 2: montreal#de l'Église / Bannantyne#0#3319#"
client-1              | time="2023-05-22 00:56:33" level=info msg="action: query_request | result: success | msg: Query 2: montreal#5e avenue / de Verdun#0#3968#"
client-1              | time="2023-05-22 00:56:33" level=info msg="action: query_request | result: success | msg: Query 2: montreal#Gascon / de Rouen#0#3479#"
client-1              | time="2023-05-22 00:56:33" level=info msg="action: query_request | result: success | msg: Query 2: montreal#Pierre-de-Coubertin / Louis-Veuillot#0#2074#"
client-1              | time="2023-05-22 00:56:33" level=info msg="action: query_request | result: success | msg: Query 2: montreal#St-Dominique / Bernard#0#4851#"
client-1              | time="2023-05-22 00:56:33" level=info msg="action: query_request | result: success | msg: Query 2: montreal#Ropery / Augustin-Cantin#0#4445#"
client-1              | time="2023-05-22 00:56:33" level=info msg="action: query_request | result: success | msg: Query 2: montreal#2e avenue / Wellington#0#4516#"
client-1              | time="2023-05-22 00:56:34" level=info msg="action: query_request | result: success | msg: Query 2: montreal#Metcalfe / du Square Dorchester#0#5291#"
client-1              | time="2023-05-22 00:56:34" level=info msg="action: query_request | result: success | msg: Query 2: montreal#Métro Angrignon#0#2407#"
client-1              | time="2023-05-22 00:56:34" level=info msg="action: query_request | result: success | msg: Query 2: montreal#Ellendale / de la Côte-des-Neiges#0#3327#"
client-1              | time="2023-05-22 00:56:34" level=info msg="action: query_request | result: success | msg: Query 2: montreal#Marquette / Fleury#0#1458#"
client-1              | time="2023-05-22 00:56:34" level=info msg="action: query_request | result: success | msg: Query 2: montreal#Métro Cadillac (Sherbrooke / de Cadillac)#0#1973#"
client-1              | time="2023-05-22 00:56:34" level=info msg="action: query_request | result: success | msg: Query 2: montreal#Jogues / Allard#0#1147#"
client-1              | time="2023-05-22 00:56:34" level=info msg="action: query_request | result: success | msg: Query 2: montreal#Tolhurst / Fleury#0#1237#"
client-1              | time="2023-05-22 00:56:34" level=info msg="action: query_request | result: success | msg: Query 2: montreal#Fullum / Gilford#0#4251#"
client-1              | time="2023-05-22 00:56:34" level=info msg="action: query_request | result: success | msg: Query 2: montreal#Métro Sauvé (Berri / Sauvé)#0#4856#"
client-1              | time="2023-05-22 00:56:34" level=info msg="action: query_request | result: success | msg: Query 2: montreal#Joseph-Manceau / René-Lévesque#0#7151#"
client-1              | time="2023-05-22 00:56:34" level=info msg="action: query_request | result: success | msg: Query 2: montreal#de la Roche / Fleury#0#1869#"
client-1              | time="2023-05-22 00:56:34" level=info msg="action: query_request | result: success | msg: Query 2: montreal#de Chateaubriand / Beaubien#0#18470#"
client-1              | time="2023-05-22 00:56:34" level=info msg="action: query_request | result: success | msg: Query 2: montreal#Clark / Fleury#0#1580#"
client-1              | time="2023-05-22 00:56:34" level=info msg="action: query_request | result: success | msg: Query 2: montreal#Berri / Gilford#0#4720#"
client-1              | time="2023-05-22 00:56:34" level=info msg="action: query_request | result: success | msg: Query 2: montreal#Jeanne-Mance / St-Viateur#0#15298#"
client-1              | time="2023-05-22 00:56:34" level=info msg="action: query_request | result: success | msg: Query 2: montreal#de Marseille / Viau#0#1883#"
client-1              | time="2023-05-22 00:56:34" level=info msg="action: query_request | result: success | msg: Query 2: montreal#Métro Rosemont (Rosemont / de St-Vallier)#0#14099#"
client-1              | time="2023-05-22 00:56:34" level=info msg="action: query_request | result: success | msg: Query 2: montreal#President-Kennedy / Robert Bourassa#0#10515#"
client-1              | time="2023-05-22 00:56:34" level=info msg="action: query_request | result: success | msg: Query 2: montreal#St-Germain / Hochelaga#0#2830#"
client-1              | time="2023-05-22 00:56:34" level=info msg="action: query_request | result: success | msg: Query 2: montreal#Clark / de Liège#0#2636#"
client-1              | time="2023-05-22 00:56:34" level=info msg="action: query_request | result: success | msg: Query 2: montreal#Lespérance / de Rouen#0#3578#"
client-1              | time="2023-05-22 00:56:34" level=info msg="action: query_request | result: success | msg: Query 2: montreal#CHSLD Benjamin-Victor-Rousselot (Dickson / Sherbrooke)#0#534#"
client-1              | time="2023-05-22 00:56:34" level=info msg="action: query_request | result: success | msg: Query 2: montreal#Émile-Journault / de Chateaubriand#0#1909#"
client-1              | time="2023-05-22 00:56:34" level=info msg="action: query_request | result: success | msg: Query 2: montreal#CHSLD St-Michel (Jarry / 8e avenue)#0#863#"
client-1              | time="2023-05-22 00:56:34" level=info msg="action: query_request | result: success | msg: Query 2: montreal#Nazareth / William#0#1474#"
client-1              | time="2023-05-22 00:56:34" level=info msg="action: query_request | result: success | msg: Query 2: montreal#Ball / Querbes#0#3587#"
client-1              | time="2023-05-22 00:56:34" level=info msg="action: query_request | result: success | msg: Query 2: montreal#Paul Boutet / des Regrattiers#0#3307#"
client-1              | time="2023-05-22 00:56:34" level=info msg="action: query_request | result: success | msg: Query 2: montreal#Casgrain / Mozart#0#8960#"
client-1              | time="2023-05-22 00:56:34" level=info msg="action: query_request | result: success | msg: Query 2: montreal#Hôpital Santa Cabrini (St-Zotique / Jeanne-Jugan)#0#1074#"
client-1              | time="2023-05-22 00:56:34" level=info msg="action: query_request | result: success | msg: Query 2: montreal#Molson / Beaubien#0#4374#"
client-1              | time="2023-05-22 00:56:34" level=info msg="action: query_request | result: success | msg: Query 2: montreal#de Lanaudière / Bélanger#0#5436#"
client-1              | time="2023-05-22 00:56:34" level=info msg="action: query_request | result: success | msg: Query 2: montreal#de Chambly / Rachel#0#6351#"
client-1              | time="2023-05-22 00:56:34" level=info msg="action: query_request | result: success | msg: Query 2: montreal#St-Urbain / Beaubien#0#8180#"
client-1              | time="2023-05-22 00:56:34" level=info msg="action: query_request | result: success | msg: Query 2: montreal#Parthenais / St-Joseph#0#5679#"
client-1              | time="2023-05-22 00:56:34" level=info msg="action: query_request | result: success | msg: Query 2: montreal#St-Dominique / Gounod#0#3338#"
client-1              | time="2023-05-22 00:56:34" level=info msg="action: query_request | result: success | msg: Query 2: montreal#Greene / Workman#0#5545#"
client-1              | time="2023-05-22 00:56:34" level=info msg="action: query_request | result: success | msg: Query 2: montreal#de la Roche / Everett#0#5274#"
client-1              | time="2023-05-22 00:56:34" level=info msg="action: query_request | result: success | msg: Query 2: montreal#Eadie / Dubois#0#2082#"
client-1              | time="2023-05-22 00:56:34" level=info msg="action: query_request | result: success | msg: Query 2: montreal#Louis-Hébert / Jean-Talon#0#4087#"
client-1              | time="2023-05-22 00:56:34" level=info msg="action: query_request | result: success | msg: Query 2: montreal#Gauvin / Notre-Dame#0#5158#"
client-1              | time="2023-05-22 00:56:34" level=info msg="action: query_request | result: success | msg: Query 2: montreal#Regina / de Verdun#0#4322#"
client-1              | time="2023-05-22 00:56:34" level=info msg="action: query_request | result: success | msg: Query 2: montreal#Logan / de Champlain#0#5731#"
client-1              | time="2023-05-22 00:56:34" level=info msg="action: query_request | result: success | msg: Query 2: montreal#15e avenue / Dandurand#0#2702#"
client-1              | time="2023-05-22 00:56:34" level=info msg="action: query_request | result: success | msg: Query 2: montreal#LaSalle / 4e avenue#0#2999#"
client-1              | time="2023-05-22 00:56:34" level=info msg="action: query_request | result: success | msg: Query 2: montreal#Rousselot / Jarry#0#2595#"
client-1              | time="2023-05-22 00:56:34" level=info msg="action: query_request | result: success | msg: Query 2: montreal#Jacques-Casault / Christophe-Colomb#0#2991#"
client-1              | time="2023-05-22 00:56:34" level=info msg="action: query_request | result: success | msg: Query 2: montreal#Métro Crémazie (Crémazie / Lajeunesse)#0#4727#"
client-1              | time="2023-05-22 00:56:34" level=info msg="action: query_request | result: success | msg: Query 2: montreal#Gare Canora#0#2453#"
client-1              | time="2023-05-22 00:56:34" level=info msg="action: query_request | result: success | msg: Query 2: montreal#Alexandra / Jean Talon#0#5655#"
client-1              | time="2023-05-22 00:56:34" level=info msg="action: query_request | result: success | msg: Query 2: montreal#Clark / Guilbault#0#11098#"
client-1              | time="2023-05-22 00:56:34" level=info msg="action: query_request | result: success | msg: Query 2: montreal#de Gaspé / St-Viateur#0#9626#"
client-1              | time="2023-05-22 00:56:34" level=info msg="action: query_request | result: success | msg: Query 2: montreal#Ottawa / St-Thomas#0#5368#"
client-1              | time="2023-05-22 00:56:34" level=info msg="action: query_request | result: success | msg: Query 2: montreal#Young / Wellington#0#12686#"
client-1              | time="2023-05-22 00:56:34" level=info msg="action: query_request | result: success | msg: Query 2: montreal#Basin / Richmond#0#6980#"
client-1              | time="2023-05-22 00:56:34" level=info msg="action: query_request | result: success | msg: Query 2: montreal#Lajeunesse / de Castelnau#0#4195#"
client-1              | time="2023-05-22 00:56:34" level=info msg="action: query_request | result: success | msg: Query 2: montreal#Bourgeoys / Favard#0#4252#"
client-1              | time="2023-05-22 00:56:34" level=info msg="action: query_request | result: success | msg: Query 2: montreal#CHSLD Éloria-Lepage (de la Pépinière / de Marseille)#0#478#"
client-1              | time="2023-05-22 00:56:34" level=info msg="action: query_request | result: success | msg: Query 2: montreal#Murray / William#0#5532#"
client-1              | time="2023-05-22 00:56:34" level=info msg="action: query_request | result: success | msg: Query 2: montreal#Hutchison / Edouard Charles#0#7396#"
client-1              | time="2023-05-22 00:56:34" level=info msg="action: query_request | result: success | msg: Query 2: montreal#Muray / Notre-Dame#0#2925#"
client-1              | time="2023-05-22 00:56:34" level=info msg="action: query_request | result: success | msg: Query 2: montreal#d'Oxford / de Monkland#0#3123#"
client-1              | time="2023-05-22 00:56:34" level=info msg="action: query_request | result: success | msg: Query 2: montreal#Fullum / Jean Langlois#0#3779#"
client-1              | time="2023-05-22 00:56:34" level=info msg="action: query_request | result: success | msg: Query 2: montreal#Chabot / St-Zotique#0#2682#"
client-1              | time="2023-05-22 00:56:34" level=info msg="action: query_request | result: success | msg: Query 2: montreal#de Monkland / Girouard#0#2591#"
client-1              | time="2023-05-22 00:56:34" level=info msg="action: query_request | result: success | msg: Query 2: montreal#du Président-Kennedy / McGill College#0#4699#"
client-1              | time="2023-05-22 00:56:34" level=info msg="action: query_request | result: success | msg: Query 2: montreal#Cathcart / Place Phillips#0#10049#"
client-1              | time="2023-05-22 00:56:34" level=info msg="action: query_request | result: success | msg: Query 2: montreal#Crescent / de Maisonneuve#0#5855#"
client-1              | time="2023-05-22 00:56:34" level=info msg="action: query_request | result: success | msg: Query 2: montreal#Henri-Julien / Carmel#0#4099#"
client-1              | time="2023-05-22 00:56:34" level=info msg="action: query_request | result: success | msg: Query 2: montreal#Métro Vendôme#0#5063#"
client-1              | time="2023-05-22 00:56:34" level=info msg="action: query_request | result: success | msg: Query 2: montreal#Hutchison / Fairmount#0#2041#"
client-1              | time="2023-05-22 00:56:34" level=info msg="action: query_request | result: success | msg: Query 2: montreal#Papineau / René-Lévesque#0#2132#"
client-1              | time="2023-05-22 00:56:34" level=info msg="action: query_request | result: success | msg: Query 2: montreal#Ste-Catherine / Ste-Élisabeth#0#1378#"
client-1              | time="2023-05-22 00:56:34" level=info msg="action: query_request | result: success | msg: Query 2: toronto#Dundas St E / Regent Park Blvd#4077#9993#"
client-1              | time="2023-05-22 00:56:34" level=info msg="action: query_request | result: success | msg: Query 2: toronto#Riverdale Park North (Broadview Ave)#1136#2472#"
client-1              | time="2023-05-22 00:56:34" level=info msg="action: query_request | result: success | msg: Query 2: toronto#Danforth Ave / Lamb Ave#507#1077#"
client-1              | time="2023-05-22 00:56:34" level=info msg="action: query_request | result: success | msg: Query 2: toronto#King St W / Spadina Ave#8695#18039#"
client-1              | time="2023-05-22 00:56:34" level=info msg="action: query_request | result: success | msg: Query 2: toronto#Dundas St E / Broadview Ave#1436#3865#"
client-1              | time="2023-05-22 00:56:34" level=info msg="action: query_request | result: success | msg: Query 2: toronto#51 Parliament St#2348#4894#"
client-1              | time="2023-05-22 00:56:34" level=info msg="action: query_request | result: success | msg: Query 2: toronto#Central Tech  (Harbord St)#1053#3675#"
client-1              | time="2023-05-22 00:56:34" level=info msg="action: query_request | result: success | msg: Query 2: toronto#Parliament St / Gerrard St#1854#5461#"
client-1              | time="2023-05-22 00:56:34" level=info msg="action: query_request | result: success | msg: Query 2: toronto#Wellesley St / Queen's Park Cres#3298#7170#"
client-1              | time="2023-05-22 00:56:34" level=info msg="action: query_request | result: success | msg: Query 2: toronto#Sherbourne St / Carlton St (Allan Gardens)#4302#8865#"
client-1              | time="2023-05-22 00:56:34" level=info msg="action: query_request | result: success | msg: Query 2: toronto#Union Station#9378#22143#"
client-1              | time="2023-05-22 00:56:34" level=info msg="action: query_request | result: success | msg: Query 2: toronto#Front St W / Blue Jays Way#6274#16173#"
client-1              | time="2023-05-22 00:56:34" level=info msg="action: query_request | result: success | msg: Query 2: toronto#Simcoe St / Wellington St W#9112#21365#"
